parameter,mean,median,mode,hpd_min,hpd_max,mutant,repressors,operator,IPTGuM,class
fc_sigma_wt,0.07108442425731262,0.06792371046399634,0.06481606161571603,0.042020382243014257,0.10517650911258615,Q21A-Q294V,260.0,O2,100.0,DBL
fc_sigma_mut,0.1579702192156473,0.13844781771628675,0.10730942778877171,0.0599761459656913,0.29730653714755867,Q21A-Q294V,260.0,O2,100.0,DBL
lp__,27.65373037710233,28.039540282330414,29.937444379832424,24.54617103462914,29.917520084054768,Q21A-Q294V,260.0,O2,100.0,DBL
bohr_wt,0.8453753030618977,0.8461440811840364,0.8333355128031611,0.6370581915695609,1.054151650464694,Q21A-Q294V,260.0,O2,100.0,DBL
bohr_mut,0.6516711586302562,0.6264293790707013,0.5974587344140054,-0.06372923184842393,1.3645866760698655,Q21A-Q294V,260.0,O2,100.0,DBL
delta_bohr,0.19370414443163975,0.21803863056373785,0.23587677838915566,-0.4976255040752787,0.9674707788538485,Q21A-Q294V,260.0,O2,100.0,DBL
chain,2.5,2.5,2.0,1,4,Q21A-Q294V,260.0,O2,250.0,DBL
chain_idx,500.5,500.5,581.0,1,951,Q21A-Q294V,260.0,O2,250.0,DBL
warmup,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,250.0,DBL
divergent__,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,250.0,DBL
energy__,-23.561268677822586,-23.949693221227328,-25.383477798302327,-27.25332093594447,-19.100814213775564,Q21A-Q294V,260.0,O2,250.0,DBL
treedepth__,2.7505,3.0,3.0,2,3,Q21A-Q294V,260.0,O2,250.0,DBL
accept_stat__,0.90435279417029,0.9612807237534526,0.993544186440243,0.5914879766197211,1.0,Q21A-Q294V,260.0,O2,250.0,DBL
stepsize__,0.4437367724530108,0.46444607108288866,0.47774530398038245,0.34283791301069044,0.5032170346356125,Q21A-Q294V,260.0,O2,250.0,DBL
n_leapfrog__,7.144,7.0,7.0,3,15,Q21A-Q294V,260.0,O2,250.0,DBL
fc_mu_wt,0.866486083923376,0.8663408531313761,0.8647976681308073,0.8267681533053186,0.9069095677022859,Q21A-Q294V,260.0,O2,250.0,DBL
log_fc_sigma_wt,-2.934884133973841,-2.963210328134932,-3.0878585122728435,-3.4511944887750374,-2.3973754521773634,Q21A-Q294V,260.0,O2,250.0,DBL
fc_mu_mut,0.8767676701688827,0.8802214575936317,0.8729482432146793,0.7726383534962299,0.9753928401238475,Q21A-Q294V,260.0,O2,250.0,DBL
log_fc_sigma_mut,-2.2309462604113612,-2.2836130686156686,-2.4612286658656815,-2.910927871838256,-1.3814241355629748,Q21A-Q294V,260.0,O2,250.0,DBL
fc_sigma_wt,0.05531322550678291,0.051652828259964464,0.04559950069134994,0.03044513292035338,0.08879363460586154,Q21A-Q294V,260.0,O2,250.0,DBL
fc_sigma_mut,0.11702937636941722,0.10191531385428051,0.08533004442007577,0.04581790267395927,0.22743032203976968,Q21A-Q294V,260.0,O2,250.0,DBL
lp__,25.539920852693097,25.97548915708287,27.978621799120376,22.20849453936458,27.94992726605086,Q21A-Q294V,260.0,O2,250.0,DBL
bohr_wt,1.8818104569819023,1.8689855510936626,1.8557231588820504,1.5373841230161938,2.2367851964745675,Q21A-Q294V,260.0,O2,250.0,DBL
bohr_mut,2.0698979348142528,1.994528983337937,1.9272817307772248,1.027692686727079,3.2698976534914252,Q21A-Q294V,260.0,O2,250.0,DBL
delta_bohr,-0.1880874778323487,-0.11677875936168725,-0.07155857189517434,-1.3898918084974374,0.8965447899940503,Q21A-Q294V,260.0,O2,250.0,DBL
chain,2.5,2.5,1.0,1,4,Q21A-Q294V,260.0,O2,500.0,DBL
chain_idx,500.5,500.5,99.0,1,951,Q21A-Q294V,260.0,O2,500.0,DBL
warmup,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,500.0,DBL
divergent__,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,500.0,DBL
energy__,-31.517948054991685,-31.889262910758795,-35.051722010760564,-35.16813403306165,-26.90341502819612,Q21A-Q294V,260.0,O2,500.0,DBL
treedepth__,2.68925,3.0,2.0,2,3,Q21A-Q294V,260.0,O2,500.0,DBL
accept_stat__,0.9113810733791076,0.9599277336336042,0.9752462687575507,0.6646010055477989,1.0,Q21A-Q294V,260.0,O2,500.0,DBL
stepsize__,0.4775511858795911,0.5125528540852309,0.5243694782397417,0.36072955710835475,0.5243694782397417,Q21A-Q294V,260.0,O2,500.0,DBL
n_leapfrog__,6.5305,7.0,3.0,3,7,Q21A-Q294V,260.0,O2,500.0,DBL
fc_mu_wt,0.896964436027336,0.8969771049037567,0.8944420136583076,0.8607147581937163,0.934294397128238,Q21A-Q294V,260.0,O2,500.0,DBL
log_fc_sigma_wt,-2.8613306280790383,-2.8773920641516337,-2.9315027437086605,-3.332854418071576,-2.3991193887140794,Q21A-Q294V,260.0,O2,500.0,DBL
fc_mu_mut,0.9069346865517663,0.9072649033492897,0.9053554641082129,0.8529167515340127,0.95366496184296,Q21A-Q294V,260.0,O2,500.0,DBL
log_fc_sigma_mut,-3.128598501603878,-3.1860210776694577,-3.454141498466918,-3.902610071324791,-2.244269244067927,Q21A-Q294V,260.0,O2,500.0,DBL
fc_sigma_wt,0.05894671733895003,0.05628134976700165,0.05331685634350145,0.03501383353912694,0.08959050739676344,Q21A-Q294V,260.0,O2,500.0,DBL
fc_sigma_mut,0.04889300806980125,0.041336016977875305,0.031614433748952855,0.017616967106889023,0.10214616383188364,Q21A-Q294V,260.0,O2,500.0,DBL
lp__,33.54466483924903,33.95162640236835,36.02126274714993,29.96824921364169,35.968972920368785,Q21A-Q294V,260.0,O2,500.0,DBL
bohr_wt,2.180573516630134,2.16407909378879,2.136939639930141,1.7849095380190845,2.6038889893748225,Q21A-Q294V,260.0,O2,500.0,DBL
bohr_mut,2.3211869162852232,2.2806874733330833,2.2581994982306615,1.6499400974263696,2.86872362899425,Q21A-Q294V,260.0,O2,500.0,DBL
delta_bohr,-0.1406133996550909,-0.11287936276105914,-0.12125985830052066,-0.8122561319638766,0.695270465771215,Q21A-Q294V,260.0,O2,500.0,DBL
chain,2.5,2.5,4.0,1,4,Q21A-Q294V,260.0,O2,1000.0,DBL
chain_idx,500.5,500.5,336.0,1,951,Q21A-Q294V,260.0,O2,1000.0,DBL
warmup,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,1000.0,DBL
divergent__,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,1000.0,DBL
energy__,-27.739440491239414,-28.06824847864427,-31.33597357797206,-31.28952646473,-23.668531942503524,Q21A-Q294V,260.0,O2,1000.0,DBL
treedepth__,2.832,3.0,2.0,1,3,Q21A-Q294V,260.0,O2,1000.0,DBL
accept_stat__,0.9124807006767892,0.966243413357266,0.9952727552552002,0.5961285975151901,1.0,Q21A-Q294V,260.0,O2,1000.0,DBL
stepsize__,0.3985297908087692,0.39597624248128255,0.33459498920096403,0.33459498920096403,0.4675716890716664,Q21A-Q294V,260.0,O2,1000.0,DBL
n_leapfrog__,7.656,7.0,7.0,3,15,Q21A-Q294V,260.0,O2,1000.0,DBL
fc_mu_wt,0.9009979570962227,0.9011123240220389,0.8986416080639639,0.8674105816256834,0.9326092687862724,Q21A-Q294V,260.0,O2,1000.0,DBL
log_fc_sigma_wt,-2.947081030918647,-2.9622522570778056,-3.0341902827226037,-3.3702839424274766,-2.485050070621836,Q21A-Q294V,260.0,O2,1000.0,DBL
fc_mu_mut,0.9493958468186409,0.9578695730584552,0.9446391915110762,0.8758779930101912,0.9999589109390641,Q21A-Q294V,260.0,O2,1000.0,DBL
log_fc_sigma_mut,-2.3256610110252627,-2.3757964030807655,-2.5303802058096125,-3.0638447565782205,-1.503041010252303,Q21A-Q294V,260.0,O2,1000.0,DBL
fc_sigma_wt,0.0539562955049819,0.051702339140869705,0.048113605524870824,0.03309794818278063,0.08089151243440049,Q21A-Q294V,260.0,O2,1000.0,DBL
fc_sigma_mut,0.10774467450812769,0.09294044172690061,0.07962873922048055,0.04122857604585218,0.21052182675887585,Q21A-Q294V,260.0,O2,1000.0,DBL
lp__,29.750294183604968,30.105019934806144,32.04243371141192,26.77395510585332,32.02022835273709,Q21A-Q294V,260.0,O2,1000.0,DBL
bohr_wt,2.2225416333389476,2.209645295896495,2.182221627763768,1.8648734923582702,2.6098010237950064,Q21A-Q294V,260.0,O2,1000.0,DBL
bohr_mut,3.3117598321142236,3.1239414155728165,2.8369311312515406,1.4193077578118731,5.443695275633699,Q21A-Q294V,260.0,O2,1000.0,DBL
delta_bohr,-1.0892181987752871,-0.9182839424032403,-0.6547095034877728,-3.328835763416289,0.7462584765523546,Q21A-Q294V,260.0,O2,1000.0,DBL
chain,2.5,2.5,1.0,1,4,Q21A-Q294V,260.0,O2,5000.0,DBL
chain_idx,500.5,500.5,242.0,1,951,Q21A-Q294V,260.0,O2,5000.0,DBL
warmup,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,5000.0,DBL
divergent__,0.0,0.0,0.0,0,0,Q21A-Q294V,260.0,O2,5000.0,DBL
energy__,-20.510750626217668,-20.91874478213981,-20.549562654794123,-24.041131756352705,-16.154507479208394,Q21A-Q294V,260.0,O2,5000.0,DBL
treedepth__,2.659,3.0,3.0,2,3,Q21A-Q294V,260.0,O2,5000.0,DBL
accept_stat__,0.8992339381734948,0.951613330416665,0.8307608104176805,0.6138894681327124,1.0,Q21A-Q294V,260.0,O2,5000.0,DBL
stepsize__,0.48839960341521793,0.5152688573020894,0.5320464916542211,0.3910142074024796,0.5320464916542211,Q21A-Q294V,260.0,O2,5000.0,DBL
n_leapfrog__,6.526,7.0,7.0,3,7,Q21A-Q294V,260.0,O2,5000.0,DBL
fc_mu_wt,0.8780119671614927,0.8779910769972704,0.876885431640628,0.8040619343322409,0.9489146551199674,Q21A-Q294V,260.0,O2,5000.0,DBL
log_fc_sigma_wt,-2.209799897702665,-2.233589774312949,-2.354715632316434,-2.6710574867971584,-1.7003440271116483,Q21A-Q294V,260.0,O2,5000.0,DBL
fc_mu_mut,0.8843985359846673,0.8841679177777282,0.8841776685672079,0.8108770481740039,0.9616390388244581,Q21A-Q294V,260.0,O2,5000.0,DBL
log_fc_sigma_mut,-2.59251293219022,-2.63625598047029,-2.8390128132720225,-3.331635377698913,-1.8182265687546268,Q21A-Q294V,260.0,O2,5000.0,DBL
fc_sigma_wt,0.11336909829000229,0.10714311944343988,0.09492049501840626,0.06555683110327279,0.17869862681572768,Q21A-Q294V,260.0,O2,5000.0,DBL
fc_sigma_mut,0.08168235609881824,0.07162895065979008,0.0584833714848898,0.03135380583163828,0.15207836821634557,Q21A-Q294V,260.0,O2,5000.0,DBL
lp__,22.520463725768888,22.901751026311622,24.907986220217516,19.141257058913148,24.863105026252967,Q21A-Q294V,260.0,O2,5000.0,DBL
bohr_wt,2.028634799426718,1.9735422707833887,1.9632609752505417,1.3209985995448952,2.800385718620805,Q21A-Q294V,260.0,O2,5000.0,DBL
bohr_mut,2.0987119850368527,2.032505421993015,2.032600633595966,1.2923285740470682,2.9770280010945993,Q21A-Q294V,260.0,O2,5000.0,DBL
delta_bohr,-0.07007718561013702,-0.0662689517880013,-0.06933965834542422,-1.213159559008694,1.0862540910770737,Q21A-Q294V,260.0,O2,5000.0,DBL
chain,2.5,2.5,4.0,1,4,Q21M,60.0,O2,0.0,DNA
chain_idx,500.5,500.5,60.0,1,951,Q21M,60.0,O2,0.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,0.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,0.0,DNA
energy__,-68.60279931024168,-68.97781010061559,-71.36627683286773,-72.15081650838086,-64.32726646788426,Q21M,60.0,O2,0.0,DNA
treedepth__,2.797,3.0,2.0,2,3,Q21M,60.0,O2,0.0,DNA
accept_stat__,0.8959915175439204,0.9582691816434236,1.0,0.5216050734122267,1.0,Q21M,60.0,O2,0.0,DNA
stepsize__,0.4431624136598681,0.44235414900061065,0.4881006092693051,0.39984074736882597,0.4881006092693051,Q21M,60.0,O2,0.0,DNA
n_leapfrog__,7.599,7.0,3.0,3,15,Q21M,60.0,O2,0.0,DNA
fc_mu_wt,0.04248796118606918,0.042556210820461904,0.04281823681910768,0.03704020334049507,0.04836991609820951,Q21M,60.0,O2,0.0,DNA
log_fc_sigma_wt,-4.740801863902205,-4.7589980718576115,-4.824680816639925,-5.202118976575168,-4.2651093438229815,Q21M,60.0,O2,0.0,DNA
fc_mu_mut,0.013005815412126188,0.012598997441066795,0.015382187748915088,5.1832430875586866e-05,0.024093142272173962,Q21M,60.0,O2,0.0,DNA
log_fc_sigma_mut,-3.8303494941438534,-3.8497994590399403,-3.872213242085805,-4.323348264021394,-3.363277748079062,Q21M,60.0,O2,0.0,DNA
fc_sigma_wt,0.009008787095011324,0.008574195826413361,0.008029116221737529,0.0052955476614396715,0.01364132522093911,Q21M,60.0,O2,0.0,DNA
fc_sigma_mut,0.022423077765631308,0.021284004356205165,0.020812255853234395,0.012661262870876995,0.033662145525167775,Q21M,60.0,O2,0.0,DNA
lp__,70.63089316016686,71.01285580260934,72.93973075452337,67.36014947266142,72.88365301823538,Q21M,60.0,O2,0.0,DNA
bohr_wt,-3.117514044463912,-3.1134412040127666,-3.107029197857165,-3.2580077633924276,-2.979298339699302,Q21M,60.0,O2,0.0,DNA
bohr_mut,-4.508540420513575,-4.361459075150123,-4.159043357695809,-5.888056160543807,-3.380502930961032,Q21M,60.0,O2,0.0,DNA
delta_bohr,1.3910263760496862,1.2460438169865313,1.0520141598386434,0.2586693369898705,2.7809346935338377,Q21M,60.0,O2,0.0,DNA
chain,2.5,2.5,3.0,1,4,Q21M,60.0,O2,0.1,DNA
chain_idx,500.5,500.5,226.0,1,951,Q21M,60.0,O2,0.1,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,0.1,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,0.1,DNA
energy__,-46.85420378633932,-47.25734770987579,-48.77936004736488,-50.41988820507245,-42.26631135369308,Q21M,60.0,O2,0.1,DNA
treedepth__,2.9045,3.0,3.0,2,4,Q21M,60.0,O2,0.1,DNA
accept_stat__,0.9368287054143769,0.9735232000386853,0.9945410886470797,0.752383617617996,1.0,Q21M,60.0,O2,0.1,DNA
stepsize__,0.3639282047740535,0.35996248941339837,0.34741177235369414,0.34741177235369414,0.38837606791582374,Q21M,60.0,O2,0.1,DNA
n_leapfrog__,8.5295,7.0,7.0,3,15,Q21M,60.0,O2,0.1,DNA
fc_mu_wt,0.06653532395890605,0.06585815422522673,0.07433827321185649,0.01985569421698241,0.11692235298598719,Q21M,60.0,O2,0.1,DNA
log_fc_sigma_wt,-2.533518719945686,-2.5489831143573447,-2.6511115250178174,-2.9847931485767725,-2.0847713690283256,Q21M,60.0,O2,0.1,DNA
fc_mu_mut,0.011267563787330693,0.0108462249963579,0.013119011239471567,0.0005383420172992981,0.021921176911721463,Q21M,60.0,O2,0.1,DNA
log_fc_sigma_mut,-3.9855029582317254,-4.00346735002181,-4.064500967114198,-4.457978892729457,-3.451574417557485,Q21M,60.0,O2,0.1,DNA
fc_sigma_wt,0.08179537762557947,0.07816110664106904,0.07057272609776587,0.04768962540264244,0.12007728742168582,Q21M,60.0,O2,0.1,DNA
fc_sigma_mut,0.01925767053274455,0.01825224216522895,0.01717155630710679,0.01078120702621555,0.030187584286974545,Q21M,60.0,O2,0.1,DNA
lp__,48.86648092077848,49.24321764924247,51.29784532672035,45.45494532651121,51.287191531516605,Q21M,60.0,O2,0.1,DNA
bohr_wt,-2.7241087281162533,-2.6521250744113867,-2.5218829257125996,-3.635038473953874,-1.8966425424553552,Q21M,60.0,O2,0.1,DNA
bohr_mut,-4.655578997734213,-4.513032714735174,-4.320487035569016,-6.100408802316651,-3.5665252774248937,Q21M,60.0,O2,0.1,DNA
delta_bohr,1.9314702696179677,1.8613215703301198,1.7986041098564165,0.3994469274221779,3.69731029196874,Q21M,60.0,O2,0.1,DNA
chain,2.5,2.5,3.0,1,4,Q21M,60.0,O2,5.0,DNA
chain_idx,500.5,500.5,786.0,1,951,Q21M,60.0,O2,5.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,5.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,5.0,DNA
energy__,-52.36363540724098,-52.73722430072449,-54.4335577257853,-55.86872500034566,-48.162736894154,Q21M,60.0,O2,5.0,DNA
treedepth__,2.63475,3.0,3.0,2,3,Q21M,60.0,O2,5.0,DNA
accept_stat__,0.8983310313426269,0.9493626264553123,1.0,0.6105199287644523,1.0,Q21M,60.0,O2,5.0,DNA
stepsize__,0.5407987615602619,0.565540467520089,0.43343591982017093,0.43343591982017093,0.5986781913808112,Q21M,60.0,O2,5.0,DNA
n_leapfrog__,6.3075,7.0,7.0,3,7,Q21M,60.0,O2,5.0,DNA
fc_mu_wt,0.12464128280686886,0.12462359273376367,0.12581345078573902,0.09485508291452871,0.15372094538176162,Q21M,60.0,O2,5.0,DNA
log_fc_sigma_wt,-3.0298361517414865,-3.0494694991742746,-3.1103980549810846,-3.476662947700441,-2.5637589656590203,Q21M,60.0,O2,5.0,DNA
fc_mu_mut,0.019830080944691148,0.01967638505159791,0.021173767362623774,0.006479772085227764,0.03258264483868789,Q21M,60.0,O2,5.0,DNA
log_fc_sigma_mut,-3.8788308299718137,-3.8928272591700694,-3.9991030319463663,-4.344679071314915,-3.3626706162836673,Q21M,60.0,O2,5.0,DNA
fc_sigma_wt,0.04971610947441609,0.04738405502781011,0.04458320524083232,0.02961134079098578,0.07488892397388461,Q21M,60.0,O2,5.0,DNA
fc_sigma_mut,0.021376754059565593,0.02038762347062892,0.018332074801841798,0.011646378159370344,0.032519235173391815,Q21M,60.0,O2,5.0,DNA
lp__,54.402352144653214,54.77163702486455,56.6261759015254,51.19757127784212,56.533154349355414,Q21M,60.0,O2,5.0,DNA
bohr_wt,-1.9562434342333384,-1.9493560373786476,-1.9384935353809243,-2.2327322782046264,-1.6892468770390667,Q21M,60.0,O2,5.0,DNA
bohr_mut,-3.967354990177916,-3.9084635493321214,-3.833591105098883,-4.806596275745235,-3.301923179806348,Q21M,60.0,O2,5.0,DNA
delta_bohr,2.0111115559445745,1.9627256075431805,1.8950975697179588,1.2773926639270665,2.910272051551826,Q21M,60.0,O2,5.0,DNA
chain,2.5,2.5,3.0,1,4,Q21M,60.0,O2,10.0,DNA
chain_idx,500.5,500.5,533.0,1,951,Q21M,60.0,O2,10.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,10.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,10.0,DNA
energy__,-43.443963739959834,-43.77748608688901,-46.735908521255894,-46.88523845367359,-39.39776825615202,Q21M,60.0,O2,10.0,DNA
treedepth__,2.666,3.0,2.0,2,3,Q21M,60.0,O2,10.0,DNA
accept_stat__,0.9278139136596313,0.9575420529377867,1.0,0.7536446444237206,1.0,Q21M,60.0,O2,10.0,DNA
stepsize__,0.5516704778317084,0.5426536329162697,0.5537583984098562,0.5270207404462752,0.5943539050479716,Q21M,60.0,O2,10.0,DNA
n_leapfrog__,6.238,7.0,7.0,3,7,Q21M,60.0,O2,10.0,DNA
fc_mu_wt,0.21393069261189815,0.2135863228465379,0.21293735899154786,0.16977604886504438,0.2628075243258685,Q21M,60.0,O2,10.0,DNA
log_fc_sigma_wt,-2.579128121428175,-2.5963139907832167,-2.647450683029912,-3.0138903828927104,-2.1290404070079805,Q21M,60.0,O2,10.0,DNA
fc_mu_mut,0.04833046990654682,0.04841537149633618,0.04767210386878373,0.029351140553444455,0.06693145882047435,Q21M,60.0,O2,10.0,DNA
log_fc_sigma_mut,-3.6291089836255415,-3.656291596840945,-3.7815454967469773,-4.144774653914451,-3.099035985369821,Q21M,60.0,O2,10.0,DNA
fc_sigma_wt,0.0780521303095487,0.07454785656068791,0.07083155517377632,0.04708823966855711,0.11599873927394533,Q21M,60.0,O2,10.0,DNA
fc_sigma_mut,0.02759971404051053,0.02582811643024461,0.022787446272388087,0.014658023291133682,0.04336169029369094,Q21M,60.0,O2,10.0,DNA
lp__,45.41902356387332,45.75773669782487,47.57814359988269,42.35649597180145,47.55897828328895,Q21M,60.0,O2,10.0,DNA
bohr_wt,-1.3072534509872609,-1.3034418878880987,-1.307309806708789,-1.5779197859180758,-1.0244663164861418,Q21M,60.0,O2,10.0,DNA
bohr_mut,-3.001056519468357,-2.9783112692228233,-2.9945630019347615,-3.4741562719676287,-2.6128120518314146,Q21M,60.0,O2,10.0,DNA
delta_bohr,1.6938030684811007,1.6755012922477146,1.6872531952259726,1.2262002992244532,2.24615278851065,Q21M,60.0,O2,10.0,DNA
chain,2.5,2.5,1.0,1,4,Q21M,60.0,O2,25.0,DNA
chain_idx,500.5,500.5,160.0,1,951,Q21M,60.0,O2,25.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,25.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,25.0,DNA
energy__,-31.47258503782125,-31.847853731048886,-33.756179018682396,-35.07758197086879,-27.414095394095703,Q21M,60.0,O2,25.0,DNA
treedepth__,2.5855,3.0,2.0,2,3,Q21M,60.0,O2,25.0,DNA
accept_stat__,0.9150083376209875,0.9513392238341692,0.9094382504322712,0.7012212476480608,1.0,Q21M,60.0,O2,25.0,DNA
stepsize__,0.6011899522728268,0.6148492264866294,0.6154102724243646,0.5583036759432335,0.6167576801748952,Q21M,60.0,O2,25.0,DNA
n_leapfrog__,5.9685,7.0,3.0,3,7,Q21M,60.0,O2,25.0,DNA
fc_mu_wt,0.4646811633381937,0.4653196412462899,0.4640025687219761,0.3935138236700162,0.5365044207363248,Q21M,60.0,O2,25.0,DNA
log_fc_sigma_wt,-2.1881616423705283,-2.2081636933943614,-2.287517763265866,-2.6388100892889317,-1.7275885083066151,Q21M,60.0,O2,25.0,DNA
fc_mu_mut,0.13957129770636703,0.1395490897762222,0.14191277673136182,0.07471703590033585,0.2036035629085502,Q21M,60.0,O2,25.0,DNA
log_fc_sigma_mut,-2.373937537704819,-2.392743562495978,-2.5358171616226484,-2.8273075285169345,-1.84585020631187,Q21M,60.0,O2,25.0,DNA
fc_sigma_wt,0.11543899253257145,0.10990227805191852,0.1015181414203385,0.06891363304726339,0.17294902622826785,Q21M,60.0,O2,25.0,DNA
fc_sigma_mut,0.0962044752277778,0.09137863670105964,0.0791969760860265,0.0540423201737102,0.1487384832238995,Q21M,60.0,O2,25.0,DNA
lp__,33.45766293286308,33.83667690618255,35.688738916975254,30.320007033348034,35.65597007556458,Q21M,60.0,O2,25.0,DNA
bohr_wt,-0.1422653873237901,-0.13894453819781227,-0.14423928041789905,-0.4325657383148363,0.14627795475894884,Q21M,60.0,O2,25.0,DNA
bohr_mut,-1.848851685969453,-1.8190401287319966,-1.79949313263956,-2.4082303315631095,-1.2840491480653853,Q21M,60.0,O2,25.0,DNA
delta_bohr,1.7065862986456621,1.6846437580537015,1.6552538522216609,1.1284280599436372,2.4033669048899777,Q21M,60.0,O2,25.0,DNA
chain,2.5,2.5,1.0,1,4,Q21M,60.0,O2,50.0,DNA
chain_idx,500.5,500.5,999.0,1,951,Q21M,60.0,O2,50.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,50.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,50.0,DNA
energy__,-29.662363932998545,-30.00399476910186,-32.94894983244742,-33.09184714675388,-25.409019979366413,Q21M,60.0,O2,50.0,DNA
treedepth__,2.607,3.0,2.0,2,3,Q21M,60.0,O2,50.0,DNA
accept_stat__,0.9209807906280676,0.9533929093887039,1.0,0.7270719516468084,1.0,Q21M,60.0,O2,50.0,DNA
stepsize__,0.5927671925914929,0.5795075904178337,0.5756228691590676,0.5664931050800422,0.6455604844502627,Q21M,60.0,O2,50.0,DNA
n_leapfrog__,6.0225,7.0,3.0,3,7,Q21M,60.0,O2,50.0,DNA
fc_mu_wt,0.7064301428780566,0.7070085262846505,0.6997013164546029,0.6279343414554774,0.7757163978638968,Q21M,60.0,O2,50.0,DNA
log_fc_sigma_wt,-2.1685074878947153,-2.181439142194195,-2.229074832096525,-2.6075986437857277,-1.6854397924655389,Q21M,60.0,O2,50.0,DNA
fc_mu_mut,0.29953090822064243,0.29956094369510966,0.30272961756850536,0.22416047674545891,0.37858738778215995,Q21M,60.0,O2,50.0,DNA
log_fc_sigma_mut,-2.1734831200371287,-2.1892116772758943,-2.2836786742327555,-2.630147829370887,-1.7010984777502878,Q21M,60.0,O2,50.0,DNA
fc_sigma_wt,0.11781169230574609,0.11287896582943321,0.10762795802097097,0.06915721779261798,0.17677525744826772,Q21M,60.0,O2,50.0,DNA
fc_sigma_mut,0.11727221843789626,0.11200501035640224,0.10190862767988361,0.07031147582421153,0.17934359958973614,Q21M,60.0,O2,50.0,DNA
lp__,31.674396906571193,32.04993363610366,33.88245229998598,28.61454260798,33.88245229998598,Q21M,60.0,O2,50.0,DNA
bohr_wt,0.885393245314602,0.8808992301873354,0.8458759620243876,0.5233652690174218,1.2408756546986308,Q21M,60.0,O2,50.0,DNA
bohr_mut,-0.8566352329390403,-0.849389480066822,-0.8343332028140653,-1.2415834894722222,-0.4955483677670044,Q21M,60.0,O2,50.0,DNA
delta_bohr,1.7420284782536426,1.7344325752040346,1.680209164838453,1.2307373163166258,2.263549431564046,Q21M,60.0,O2,50.0,DNA
chain,2.5,2.5,4.0,1,4,Q21M,60.0,O2,75.0,DNA
chain_idx,500.5,500.5,41.0,1,951,Q21M,60.0,O2,75.0,DNA
warmup,0.0,0.0,0.0,0,0,Q21M,60.0,O2,75.0,DNA
divergent__,0.0,0.0,0.0,0,0,Q21M,60.0,O2,75.0,DNA
energy__,-31.95893976733115,-32.3315613310171,-33.97393072513308,-35.34411316429807,-27.661964247192156,Q21M,60.0,O2,75.0,DNA
treedepth__,2.719,3.0,2.0,2,3,Q21M,60.0,O2,75.0,DNA
accept_stat__,0.9398011717271696,0.9670742317853647,0.9230740996407691,0.7904320486804243,1.0,Q21M,60.0,O2,75.0,DNA
stepsize__,0.5120781388979332,0.5129213379884203,0.5441050728736219,0.46808434447735486,0.55438553513751,Q21M,60.0,O2,75.0,DNA
n_leapfrog__,6.3865,7.0,7.0,3,7,Q21M,60.0,O2,75.0,DNA
fc_mu_wt,0.7924171672234118,0.7918071912578339,0.789825906866952,0.7033697017524239,0.8814801046288334,Q21M,60.0,O2,75.0,DNA
log_fc_sigma_wt,-1.956016222619057,-1.9731813789974284,-2.0104683207373526,-2.4173269878760655,-1.4914222215804083,Q21M,60.0,O2,75.0,DNA
fc_mu_mut,0.43835415526427496,0.43825087536576485,0.4390658934863628,0.39278322124817155,0.48297427155863215,Q21M,60.0,O2,75.0,DNA
log_fc_sigma_mut,-2.6447203001455946,-2.6634397900208997,-2.7568577697631733,-3.107755182257487,-2.1415223440520723,Q21M,60.0,O2,75.0,DNA
fc_sigma_wt,0.1457601863573285,0.13901389660467767,0.1339259396850807,0.08841782408699954,0.22328180121436605,Q21M,60.0,O2,75.0,DNA
fc_sigma_mut,0.07342996057133591,0.0697080281769688,0.06349095845459848,0.04349141722397553,0.11480274122518198,Q21M,60.0,O2,75.0,DNA
lp__,33.913728203956495,34.31340909389779,36.08199225891233,30.8008344392676,36.059783632014,Q21M,60.0,O2,75.0,DNA
bohr_wt,1.366526351693461,1.3358533033180264,1.3238763479276308,0.8455675785441915,1.9837684100554451,Q21M,60.0,O2,75.0,DNA
bohr_mut,-0.24838283978471473,-0.2482638318233013,-0.24495394055990813,-0.435627998885475,-0.06812925390788684,Q21M,60.0,O2,75.0,DNA
